Incident ID,Incident Date,State,County,Address
1600522,19-01-2020,Texas,Bexar,1011 Avenue B
2175329,25-11-2021,Texas,Bexar,4000 block of Sunrise Creek Dr
2157206,01-11-2021,Texas,Bexar,1900 block of W Laurel St
2131406,02-10-2021,Texas,Bexar,6222 S New Braunfels Ave
2091597,15-08-2021,Texas,Bexar,1621 S New Braunfels Ave
2019155,29-05-2021,Texas,Bexar,3300 block of Fallen Leaf Ln
1964030,28-03-2021,Texas,Bexar,2011 Dollarhide Ave
2472924,01-12-2022,Texas,Bexar,4200 block of S Cibolo St
2340473,26-06-2022,Texas,Bexar,3805 Blanco Rd
2334359,18-06-2022,Texas,Bexar,2500 block of Patron Dr
2289610,27-04-2022,Texas,Bexar,3399 Wurzbach Rd
2241299,24-02-2022,Texas,Bexar,90 Lanark Dr
2214306,17-01-2022,Texas,Bexar,400 block of Spriggsdale Ave
2202727,02-01-2022,Texas,Bexar,427 Montrose
366046,29-06-2015,Florida,Miami-Dade,13450 NW 30th Ave
367099,28-06-2015,Illinois,Madison,1430 Broadway
365399,28-06-2015,Delaware,Kent,100 block of East St
364872,27-06-2015,Massachusetts,Bristol,Weir Street
363418,24-06-2015,New York,New York,2110 Madison Ave
287031,01-02-2015,New York,New York,3345 Broadway
688841,30-10-2016,New York,New York,135 Ridge Street
546258,23-04-2016,New York,New York,West 141st Street and Edgecombe Avenue
875322,24-06-2017,New York,New York,114th St and Manhattan Ave
853032,27-05-2017,New York,New York,318 W 14th St
1764619,14-08-2020,New York,New York,111 Lenox Ave
1725167,05-07-2020,New York,New York,549 Academy St
2167778,15-11-2021,New York,New York,101 W 141st St
2126747,27-09-2021,New York,New York,3964 10th Ave
2426137,27-09-2022,New York,New York,W 116th St and 7th Ave
2335052,20-06-2022,New York,New York,5th Ave and W 139th St
360895,20-06-2015,North Carolina,Anson,6066 Robinson Bridge Rd
361014,19-06-2015,Rhode Island,Providence,80 River Street
359830,17-06-2015,South Carolina,Charleston,110 Calhoun Street
296327,22-02-2015,South Carolina,Charleston,4224 Dorchester Road
1681602,17-05-2020,South Carolina,Charleston,23 Cannon St
2076889,28-07-2021,South Carolina,Charleston,Hanover St and Johnson St
2000132,09-05-2021,South Carolina,Charleston,500 Block of King St
2448372,30-10-2022,South Carolina,Charleston,1900 Hazelwood Dr
